id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
170606180530,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
170606180602,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
170606180606,another group,not detected,,another situation
170606180708,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
170606180715,another group,not detected,,another situation
170606180739,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
170606180858,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
170606180912,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170606180920,man,good no adverse circumstances were found,"correct, appropriate",another situation
170606180958,another group,not detected,,another situation
170606180970,another group,not detected,,another situation
170606181010,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170606181041,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170606181059,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170606181060,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170606181063,child (up to 15 years),good no adverse circumstances were found,,another situation
170606181081,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170606181101,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
170606181143,another group,not detected,,another situation
170606181160,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
170606181162,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",walking on the right side
170606181200,man,good no adverse circumstances were found,,another situation
170606181209,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170606181291,another group,not detected,,another situation
170606181334,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
170606181377,man,good no adverse circumstances were found,,walking on the wrong side
170606181378,another group,not detected,,another situation
170606181379,man,good no adverse circumstances were found,"correct, appropriate",another situation
170606181391,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170606181394,man,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
170606181396,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
170606181403,Woman,not detected,"correct, appropriate",crossing at a marked crossing
170906180033,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
170906180039,Woman,"suicide attempt, suicide",sudden change in walking direction,another situation
170906180042,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
170906180043,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
170906180122,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the right side
170906180131,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170906180157,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
170906180170,man,good no adverse circumstances were found,"correct, appropriate",another situation
170906180191,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
170906180227,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170906180247,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
170906180272,child (up to 15 years),good no adverse circumstances were found,Side impact,another situation
170906180277,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,,another situation
170906180318,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
170906180504,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170906180540,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170906180542,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
170906180555,Woman,good no adverse circumstances were found,,crossing at a marked crossing
170906180577,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170906180593,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
170906180600,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170906180626,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
170906180647,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170906180676,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
170906180724,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
170906180769,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106180004,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
171106180059,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
171106180072,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
171106180105,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
171106180228,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106180229,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
171106180268,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
171106180293,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
171106180396,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
171106180411,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
171106180420,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106180467,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",walking on the right side
171106180482,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106180511,another group,not detected,,another situation
171106180565,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
171106180576,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
171106180633,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,pedestrian entry on the signal FREE
171106180635,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
171106180661,man,good no adverse circumstances were found,"correct, appropriate",another situation
171106180664,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
171106180685,man,good no adverse circumstances were found,"correct, appropriate",another situation
171106180811,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
171106180883,Woman,good no adverse circumstances were found,,another situation
171106180907,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106180928,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
171106180940,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
171106180968,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",walking on the wrong side
171106181087,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106181131,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
171106181132,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
171106181141,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
171106181150,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
171106181161,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106180009,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106180078,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106180087,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing just in front of or behind a parked vehicle
180106180114,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106180127,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the right side
180106180131,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106180143,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180106180147,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing just in front of or behind a parked vehicle
180106180220,Woman,good no adverse circumstances were found,,walking on the right side
180106180250,man,good no adverse circumstances were found,,another situation
180106180253,man,good no adverse circumstances were found,"correct, appropriate",another situation
180106180278,man,good no adverse circumstances were found,sudden change in walking direction,another situation
180106180283,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106180347,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
180106180388,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180106180405,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180106180417,group of children,not detected,,another situation
180106180426,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180106180527,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106180562,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
180106180563,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106180609,child (up to 15 years),good no adverse circumstances were found,sudden change in walking direction,another situation
180106180757,man,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
180106180790,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106180815,man,good no adverse circumstances were found,"correct, appropriate",another situation
180106180842,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106180871,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the wrong side
180106180928,another group,not detected,,another situation
180106181039,child (up to 15 years),good no adverse circumstances were found,,crossing just in front of or behind a vehicle at a bus stop
180106181040,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180106181115,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106181191,another group,not detected,,another situation
180106181203,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden change in walking direction,walking on the right side
180106181226,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106181254,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",walking on the wrong side
180106181261,another group,not detected,,another situation
180106181296,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180106181298,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180106181308,man,"inattention, distraction","correct, appropriate",crossing at a marked crossing
180106181389,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180106181400,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
180106181411,child (up to 15 years),good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
180406180005,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180010,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180406180018,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180083,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
180406180102,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
180406180117,man,good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
180406180125,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
180406180154,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
180406180155,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,walking on the wrong side
180406180229,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
180406180303,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",walking on the right side
180406180318,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180365,man,not detected,,another situation
180406180434,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
180406180450,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180462,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180406180495,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
180406180497,man,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,another situation
180406180501,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
180406180504,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180509,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
180406180518,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180545,another group,not detected,,another situation
180406180553,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
180406180555,man,good no adverse circumstances were found,sudden change in walking direction,another situation
180406180560,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
180406180574,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",walking on the right side
180406180590,man,good no adverse circumstances were found,"correct, appropriate",another situation
180406180614,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180406180641,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180406180644,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
180406180645,man,good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a parked vehicle
180406180661,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
180406180684,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180010,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
180506180020,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
180506180021,child (up to 15 years),not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180506180042,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180064,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
180506180085,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
180506180112,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
180506180221,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180235,another group,not detected,,another situation
180506180257,child (up to 15 years),"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
180506180259,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
180506180273,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506180341,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180350,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180389,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
180506180406,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
180506180409,man,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180506180413,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
180506180419,Woman,not detected,,crossing at a marked crossing
180506180442,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
180506180467,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180471,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506180480,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506180488,another group,not detected,,another situation
180506180518,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
180506180573,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506180624,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",another situation
180506180675,child (up to 15 years),good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
180506180693,child (up to 15 years),good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a vehicle at a bus stop
180506180721,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506180722,Woman,good no adverse circumstances were found,,crossing at a marked crossing
180506180795,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,another situation
180506180870,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",another situation
180506180872,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180506180918,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
180506180933,another group,not detected,,another situation
180506180949,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
180506180952,Woman,good no adverse circumstances were found,Side impact,crossing at a marked crossing
180506180958,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506180959,man,good no adverse circumstances were found,,another situation
180506180967,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
180506181004,man,good no adverse circumstances were found,,walking on the wrong side
180506181038,man,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
180506181041,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506181077,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
180506181080,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
180506181114,Woman,good no adverse circumstances were found,,another situation
180506181116,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",another situation
180506181219,man,"inattention, distraction",Side impact,crossing at a marked crossing
180506181292,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506181296,man,good no adverse circumstances were found,"correct, appropriate",another situation
180506181306,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,another situation
180506181318,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180506181321,man,not detected,"correct, appropriate",another situation
180506181324,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180506181344,child (up to 15 years),"inattention, distraction",Side impact,crossing just in front of or behind a vehicle at a bus stop
180506181396,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506181402,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
180506181443,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180506181486,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
180506181496,man,good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
180506181510,Woman,good no adverse circumstances were found,,another situation
180506181520,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",another situation
180506181528,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
180506181551,Woman,good no adverse circumstances were found,,another situation
180506181552,man,good no adverse circumstances were found,,another situation
180506181562,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
180506181585,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
180506181597,child (up to 15 years),good no adverse circumstances were found,sudden entry into the road from a boarding or dividing island,crossing just in front of or behind a parked vehicle
180506181636,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180506181641,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180506181664,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
180506181713,Woman,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
180506181715,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
180506181749,man,good no adverse circumstances were found,,crossing at a marked crossing
180506181751,Woman,good no adverse circumstances were found,,another situation
180506181754,another group,not detected,,another situation
180506181818,Woman,good no adverse circumstances were found,,another situation
180506181845,man,good no adverse circumstances were found,,walking on the right side
181106180034,man,not detected,"correct, appropriate","walking, standing on the pavement"
181106180037,child (up to 15 years),good no adverse circumstances were found,Side impact,crossing at a marked crossing
181106180046,man,good no adverse circumstances were found,,crossing just in front of or behind a parked vehicle
181106180121,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
181106180200,Woman,not detected,"sudden entry into the roadway from the sidewalk, shoulder","walking, standing on the pavement"
181106180213,group of children,not detected,,another situation
181106180272,Woman,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",another situation
181106180275,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
181106180310,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
181106180365,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",walking on the wrong side
181106180405,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
181106180415,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,walking on the wrong side
181106180465,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
181106180487,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
181106180519,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
181106180536,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
181106180556,child (up to 15 years),"inattention, distraction","confused, hasty, indecisive behaviour",crossing at a marked crossing
181106180559,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
181106180570,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the wrong side
190206180003,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
190206180004,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206180021,Woman,not detected,,another situation
190206180022,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206180085,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,,Crossing outside the crossing (20 metres or more from the crossing)
190206180102,another group,not detected,,another situation
190206180128,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
190206180154,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
190206180155,another group,not detected,,another situation
190206180158,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden change in walking direction,another situation
190206180173,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
190206180174,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
190206180178,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
190206180199,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206180229,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206180231,man,not detected,"correct, appropriate",crossing at a marked crossing
190206180238,man,"inattention, distraction","confused, hasty, indecisive behaviour",another situation
190206180292,group of children,not detected,,another situation
190206180293,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
190206180298,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190206180299,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
190206180321,child (up to 15 years),not detected,,crossing at a marked crossing
190206180355,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
190206180383,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206180409,Woman,good no adverse circumstances were found,,walking on the wrong side
190206180413,child (up to 15 years),good no adverse circumstances were found,"confused, hasty, indecisive behaviour",crossing at a marked crossing
190206180415,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206180461,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
190206180484,man,not detected,,another situation
190206180491,Woman,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
190206180493,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
190206180519,child (up to 15 years),good no adverse circumstances were found,Side impact,another situation
190206180554,man,good no adverse circumstances were found,"correct, appropriate",another situation
190206180613,man,good no adverse circumstances were found,"correct, appropriate",another situation
190206180641,man,"inattention, distraction",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
190206180674,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
190206180678,child (up to 15 years),good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
190206180689,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206180694,man,not detected,,Crossing outside the crossing (20 metres or more from the crossing)
190206180703,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190206180716,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190206180722,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
190306180004,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
190306180022,man,good no adverse circumstances were found,"correct, appropriate",another situation
190306180153,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
190306180154,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
190306180155,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
190306180169,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
190306180228,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
190306180284,Woman,"inattention, distraction",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
190306180299,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
